score	div.	del.	ins.	sequence	begin	end	(left)	repeat	class/family	begin	end	(left)	ID			
	SW	perc	perc	perc	query	position	in	query	matching	repeat	position	in	repeat			
																
	59367	4.1	1.2	1	NP_60	410126	417430	-218555	+	Gypsy-3_DSe-I	LTR/Gypsy	1	7373	0	286	7304
	49604	4.1	1.4	1	NP_60	417852	425137	-210848	+	Gypsy-3_DSe-I	LTR/Gypsy	1	7373	0	286	7285
	47996	3.8	1.1	1	NP_60	553447	560355	-75630	+	TABOR_I	LTR/Gypsy	1	6336	0	362	6908
	54309	2.4	1.5	0.2	NP_60	381055	387578	-248407	+	Gypsy-11_DSim-I	LTR/Gypsy	1	6271	-276	271	6523
	51477	2.8	0.6	0.4	NP_60	443572	449861	-186124	+	Gypsy-5_DSe-I	LTR/Gypsy	1	6964	-118	308	6289
	51010	2.6	1.1	0.3	NP_60	279226	285338	-350647	+	DM297_I	LTR/Gypsy	1	6930	-152	206	6112
	23540	9.1	0.8	1.4	NP_60	531826	537849	-98136	+	Gypsy12_I	LTR/Gypsy	1	7347	0	350	6023
	43187	11.4	0.6	0	NP_60	390948	396968	-239017	+	Gypsy_I	LTR/Gypsy	460	6507	0	276	6020
	47989	1.7	2.4	0.1	NP_60	133815	139750	-496235	+	QUASIMODO2-I_DM	LTR/Gypsy	1	5497	-3	123	5935
	48219	5.4	1.1	1	NP_60	429601	435532	-200453	+	NOMAD_I	LTR/Gypsy	1	5940	-632	297	5931
	42422	11.2	1	0	NP_60	615462	621378	-14607	C	Gypsy_I	LTR/Gypsy	0	6507	543	395	5916
	53365	0.8	0.4	0	NP_60	61703	67564	-568421	C	BURDOCK_I	LTR/Gypsy	0	5860	1	75	5861
	17681	13.8	2.2	1.1	NP_60	185376	191164	-444821	C	BATUMI_I	LTR/Pao	-42	7746	2010	155	5788
	45130	2.9	0.3	0.8	NP_60	579951	585709	-50276	+	DM412	LTR/Gypsy	1	6477	0	378	5758
	43567	3.9	0.4	0.9	NP_60	488839	494582	-141403	C	DM412	LTR/Gypsy	0	6477	1	323	5743
	40673	11.6	0.8	0	NP_60	397873	403602	-232383	C	Gypsy_I	LTR/Gypsy	-276	6231	460	280	5729
	44923	2.8	0.9	0.1	NP_60	234905	240509	-395476	+	DM297_I	LTR/Gypsy	1	6930	-152	182	5604
	43664	2.5	1.2	0.1	NP_60	199125	204305	-431680	C	DM297_I	LTR/Gypsy	-929	5238	1	161	5180
	45649	1.1	0.1	0.2	NP_60	623044	628045	-7940	+	LINEJ1_DM	Non-LTR_retrotransposon/Jockey	27	5020	0	399	5001
	42969	0.8	0.3	0	NP_60	369178	373859	-262126	+	BEL_I	LTR/Pao	708	5404	0	262	4681
	22021	2.5	1.6	0.1	NP_60	175057	179682	-456303	+	FW_DM	Non-LTR_retrotransposon/Jockey	1	4692	0	143	4625
	40594	0.2	0.5	0	NP_60	150103	154670	-481315	+	TRANSPAC_I	LTR/Gypsy	1	4590	0	126	4567
	20560	9.1	1.9	0.9	NP_60	221116	225532	-410453	+	Gypsy-1_DSe-I	LTR/Gypsy	1	4745	-1683	176	4416
	20409	9	1.7	0.7	NP_60	266796	271207	-364778	+	Gypsy-1_DSe-I	LTR/Gypsy	1	4745	-1683	202	4411
	32817	4.7	4.3	0.8	NP_60	450577	454795	-181190	+	MDG1_I	LTR/Gypsy	1232	5598	-998	309	4218
	24019	3.5	0.5	0.5	NP_60	357759	361523	-274462	+	Stalker2_I	LTR/Gypsy	1	6356	-174	258	3764
	29113	4.6	3.2	0.8	NP_60	454938	458632	-177353	C	MDG1_I	LTR/Gypsy	-1651	4945	1164	310	3694
	28388	4.1	1.1	1	NP_60	481080	484713	-151272	C	STALKER4_I	LTR/Gypsy	-2431	4099	379	319	3633
	22162	2.1	1.6	0	NP_60	155986	159586	-476399	+	FW_DM	Non-LTR_retrotransposon/Jockey	1034	4692	0	127	3600
	22792	2.9	12.4	0.1	NP_60	144032	147557	-488428	C	DM1731_I	LTR/Copia	0	3976	19	125	3525
	28979	3.5	1.1	0.1	NP_60	468961	472443	-163542	+	Gypsy-13_DSim-I	LTR/Gypsy	626	4145	-1299	315	3482
	27264	3.8	1.3	0.5	NP_60	248586	252034	-383951	+	Gypsy-1_DSim-I	LTR/Gypsy	3230	6705	-317	189	3448
	23263	3.1	1.7	0.7	NP_60	318623	322058	-313927	C	Gypsy-1_DSim-I	LTR/Gypsy	-321	6701	3230	234	3435
	23054	3	2.1	0.8	NP_60	293480	296912	-339073	+	Gypsy-1_DSim-I	LTR/Gypsy	3230	6705	-317	212	3432
	25091	2.8	0.1	1.3	NP_60	495366	498786	-137199	C	DM412	LTR/Gypsy	0	6477	1	324	3420
	22370	5.2	2.4	2.9	NP_60	68632	72045	-563940	C	BATUMI_I	LTR/Pao	-3816	4147	749	77	3413
	26440	3.4	2.5	1.3	NP_60	587271	590600	-45385	+	Gypsy-8_DSim-I	LTR/Gypsy	2001	5372	-40	378	3329
	23469	3.5	4	0.2	NP_60	521607	524735	-111250	+	DM412	LTR/Gypsy	2285	5532	-945	344	3128
	10383	9.5	1.6	1.2	NP_60	289994	293098	-342887	+	Gypsy-1_DSim-I	LTR/Gypsy	26	3234	-3788	212	3104
	10385	15	3	1.7	NP_60	245139	248193	-387792	+	Gypsy-1_DSim-I	LTR/Gypsy	3	3761	-2396	180	3054
