1701	5.3	0.5	0	NP_61	221010	221215	-266594	+	Chimpo_LTR	LTR/Gypsy	1	207	0	161	205
1275	8.3	1.9	1.7	NP_61	36728	36937	-450872	C	Gypsy-12_DSim-LTR	LTR/Gypsy	-3	328	149	25	209
1845	1.9	0	0.5	NP_61	225270	225479	-262330	+	Gypsy-7_DSe-LTR	LTR/Gypsy	50	258	0	160	209
1108	13.1	11.2	4.2	NP_61	107591	107813	-379996	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	79	222
1773	5	0.2	3.6	NP_61	289039	289270	-198539	C	BEL-6_DYa-I	LTR/Pao	-1699	4021	3711	192	231
1773	5	0.2	3.6	NP_61	299825	300056	-187753	C	BEL-6_DYa-I	LTR/Pao	-1699	4021	3711	195	231
1160	12.6	10.7	5.1	NP_61	41152	41394	-446415	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	33	242
1180	12.1	10.7	5.1	NP_61	46646	46888	-440921	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	37	242
1180	12.1	10.7	5.1	NP_61	51358	51600	-436209	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	41	242
1131	13	10.7	5.1	NP_61	78146	78388	-409421	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	52	242
1149	13	10.7	5.1	NP_61	80785	81027	-406782	+	R1_DSi	Non-LTR_retrotransposon/R1	9	264	-5170	56	242
1065	14.7	10.7	5.1	NP_61	111630	111872	-375937	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	85	242
1147	13.8	10.3	4.7	NP_61	115644	115886	-371923	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	90	242
1320	10.4	0.4	11.2	NP_61	170132	170379	-317430	C	DIVER_LTR	LTR/Pao	0	224	1	126	247
1320	10.4	0.4	11.2	NP_61	180317	180564	-307245	C	DIVER_LTR	LTR/Pao	0	224	1	136	247
1320	10.4	0.4	11.2	NP_61	190508	190755	-297054	C	DIVER_LTR	LTR/Pao	0	224	1	146	247
2158	2.8	0	0.4	NP_61	39976	40229	-447580	C	Gypsy-8_DSe-LTR	LTR/Gypsy	0	288	36	30	253
