	767	17.6	6.5	7.2	NP_61	204304	204506	-136994	+	NOMAD_LTR	LTR/Gypsy	188	518	0	92	202
	1713	4.8	0.5	0	NP_61	58974	59179	-282321	+	Chimpo_LTR	LTR/Gypsy	1	207	0	30	205
	1713	4.8	0.5	0	NP_61	63209	63414	-278086	+	Chimpo_LTR	LTR/Gypsy	1	207	0	30	205
	243	28.6	5.3	5.3	NP_61	159102	159308	-182192	+	ZAM_I	LTR/Gypsy	6955	7161	-329	68	206
	1844	1.9	0	0.5	NP_61	63415	63624	-277876	+	Gypsy-7_DSe-LTR	LTR/Gypsy	50	258	0	29	209
	967	22.3	1.4	0	NP_61	173465	173675	-167825	C	Gypsy-24_DYa-LTR	LTR/Gypsy	0	214	1	78	210
	514	28.1	1.9	0.9	NP_61	157199	157410	-184090	+	Gypsy-5_DSim-I	LTR/Gypsy	4130	4343	-2166	65	211
	1699	8.1	0	0	NP_61	203609	203830	-137670	+	ZAM_I	LTR/Gypsy	424	645	-6845	91	221
	1084	12.7	11.7	4.2	NP_61	268592	268813	-72687	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	132	221
	1114	12.7	11.7	4.2	NP_61	274850	275071	-66429	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	146	221
	1072	13.6	11.2	4.2	NP_61	272972	273194	-68306	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	141	222
	1109	13.1	11.2	4.2	NP_61	286008	286230	-55270	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	154	222
	1085	12.2	11.2	4.6	NP_61	266096	266319	-75181	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	127	223
	1112	12.6	10.7	4.6	NP_61	277555	277779	-63721	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	27	150	224
	1252	5.4	0.4	19.6	NP_61	293488	293718	-47782	+	Gypsy-8_DSim-I	LTR/Gypsy	5179	5372	-40	161	230
	437	25	15.3	0.9	NP_61	203892	204129	-137371	+	Gypsy-3_DSe-LTR	LTR/Gypsy	100	377	-2	93	237
	444	23.4	16.8	0.8	NP_61	212749	212987	-128513	+	Gypsy-3_DSe-LTR	LTR/Gypsy	96	377	-2	95	238
	1085	13.1	11.6	5.1	NP_61	270468	270708	-70792	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	137	240
	1104	13.9	10.7	4.7	NP_61	245055	245296	-96204	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	117	241
	1085	13.9	10.7	5.1	NP_61	228183	228425	-113075	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	102	242
	1085	13.9	10.7	5.1	NP_61	230115	230357	-111143	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	106	242
	1126	13.4	10.2	5.1	NP_61	250088	250331	-91169	C	R1_DSi	Non-LTR_retrotransposon/R1	-5170	264	9	122	243
